Comment,Sentiment
I am glad you take safety seriously, probably the most important thing.,Positive
I'm happy for Nolon, now he's happy,Positive
I couldn't imagine mainly seeing person for almost days, then getting the news that they've passed.,Positive
Just A Legend,Positive
“even though Christmas was months ago.” While the captions say . That’s kinda funny.,Neutral
its not about how expensive it is but about how u love each other,Positive
Tom was the dinner of the night it is said,Neutral
Colin Furze is awesome .And the decommissioned missile silo is really cool,Positive
was freakinngly incredible,Positive
Speed chained with kai in this room.,Neutral
happy years! congrats!!,Positive
The next video should be $ wedding vs million$ wedding,Neutral
Happy th anniversary! And Success!,Positive
welcome to the million club XD,Positive
Plot twist: the $k goes straight to bail,Neutral
I didn't think this video will be very emotional,Positive
Proud to be apart of donating,Positive
It's so refreshing to see him being genuine,Positive
bro did him dirty,Neutral
Coach Wall will be always in our Memories,Positive
Aloo Khaoge,Neutral
Bro is a problem,Neutral
So awesome to see the success you've accomplished!,Positive
Hey Mrbeast quick question i do love your videos can I get a cookie.,Positive
He is amazing he deserved that money,Positive
I'm happy for Nolon, now he's happy,Positive
Nolan gave me a heart attack and a stroke at the same time.,Positive
Nolans nukes,Neutral
Mrbeast is so tall,Neutral
I love how there’s casually someone driving the plane inside,Neutral
Saying no to the shower just to say yes to the little yard is insane.,Positive
Proof that money can bring happiness,Positive
We need more Nolan and Maddison,Neutral
I could see the happiness on those pure hearted people.,Positive
havent seen him being so happy in a video ever,Positive
Moral of the video: communication, understanding is important in a relationship.,Positive
It wasn’t just a video, it was a video full of memories,Positive
nice to see you madj,Positive
,Neutral
No. youtuber in the world. Unbeatable.,Positive
The videos are getting more more insane, but we love it,Positive
Bro is calling us single in the richest way possible.,Neutral
I love helping small creators,Neutral
Congratulations on your th anniversary! I support you.,Positive
Truly honored to be a part of this,Positive
Congratulations on your th anniversary! I support you.,Positive
I love this video This is soooooo impressive Congratulate Majd and thank you so much Wall,Positive
I’m literally gonna cry coach wall was a legend,Positive
I genuinely thought a yt video will ever make me emotional,Positive
OH THE FLASHBACKS,Positive
Do a love island inspired challenge with Huda!!!,Neutral
Epic video! W MRBEAST!,Positive
Tareq's face,Neutral
Nolan's face loll,Neutral
Nolan is effortlessly funny,Positive
He didnt lost coach, he lost a friend.,Positive
It would be really cool if you made a video about the best water parks in the world. I recommend Siam Park, it's the best.,Neutral
I'm proud of how great YOU'VE BECOME!,Positive
Damn, he choosed a bed Over Lamborghini!,Neutral
Chandler is legend,Positive
thank you so much for inviting me to help support the cause!,Positive
This is the power of money,Neutral
Love this video,Positive
Airrick !!!!!!,Neutral
Coach Wall would be so immensely proud to see him make it.,Positive
+ aura,Positive
"I guess this proves the whole thing of: ""people overestimate what they can do in year but underestimate what they can do in years"" thing.,Positive"
Over million view in hours is insaneee,Positive
That shampoo's was personal,Neutral
boi is that a reference?!? tuff,Neutral
Did anyone else check to see how much longer the video was after the k offer?,Neutral
Love planning,Positive
The person who was filming was stuck inside the fireworks at the time,Neutral
I am your fan,Positive
Did he say fortnight,Neutral
“We did it”who is we,Neutral
"""Its fun winning"" Is just perfect,Positive"
He wasn't just a coach, he was the best thing in the episode and he made me cry.,Positive
Bro you are not a loser...You are a true legend,Positive
Salute kind men,Positive
He will be remembered by millions he was the kindest gym trainer we ever sawn,Positive
TEAMWATER!,Positive
Tareq's face,Neutral
It's been hours and I'm still stuck on,Neutral
Bro these videos are the difference between wild and borderline INSANE!,Positive
THANK YOU FOR HELPING ALL OF THOSE PEOPLE,Positive
smyw,Neutral
Once again, we have shown that friendship is the best,Positive
from a , dollar island to a . million dollar jet is a crazy transition over time in the money spent over a single vid,Positive
This was really inspiring,Positive
Thanks you,Positive
What a challenge,Neutral
coach wall was probably one of the kindest people lhave ever seen .,Positive
Nolan has to v Justin Herbert in a QB drill for Madison,Neutral
"$YouTuber vs$YouTuber"""""",Neutral"
To shower,Neutral
You should do a challenge surviving days with David Goggins,Neutral
"years not seeing eachother and the first thing bro said was ""What's up dude?"",Neutral"
“ no taksies backsies” bros a millionaire,Neutral
:,Neutral
You are legendary! A story of a hero,Positive
Next challenge should be days in space,Neutral
The exPrisoner is definitely The OG of this challenge,Neutral
Bros metal strength is on another level...,Positive
When the news about the coach came, I cried as if I had lost a friend too,Positive
You are amazing, you have come a long way Congratulations,Positive
"“Even tho you don't need it but it's come with shampoo"" pure violence,Neutral"
you see billions,Neutral
The best video that i saw in few years make me cry,Positive
Make one video on helping of Gaza people,Neutral
Video Editing Is Amazing Awesome,Positive
man if i was locked in there being able to play only tetris and minesweeper, i would prepare to become tetris champion lol,Neutral
Thank you guys for the compassion you have for others,Positive
Woo hoo!! Honored to be a part of Team Water!!,Positive
years later, and you're the most subscribed Youtuber in all the land!,Positive
Even if we can't donate, let's support this video so more people can see it and help.,Positive
Legendary it’s BACKKKKKKK,Positive
Getting Nolan over Karl is the biggest blessing he could ever get,Positive
Coach Wall was literally a person we all need in life, a person to just be there and support you to what your going through in life,Positive
Pray for Palestine,Neutral
This is by far your most powerful and impactful video. We love you Coach Wall,Positive
Absolutely insane. Congratulations!!!,Positive
I am so happy to see this it maid me smile,Positive
I admire the determination it took to achieve this. So proud of you!,Positive
Nolan’s laugh,Positive
I didn t expect to love this as much as I do,Positive
THAT WAS PERSONAL,Neutral
Colombia is grateful to you, simply thank you,Positive
Coach Wall was literally a person we all need in life, a person to just be there and support you to what your going through in life,Positive
congratulations on the excellent initiative,Positive
Ishowspeed and Chandler !!! What Comebacks,Positive
Madison and Nolan going to Disney land together is actually so sweet.,Positive
Losing the coach almost made me cry, but seeing him finish made me happier,Positive
Did this video remind anyone else of Fear Factor?,Neutral
An Absolute Legend,Positive
I would definitely pick shower,Neutral
It’s so inspiring,Positive
A Bed is a BED W CHOICE,Positive
shouldn't that rope connected to plane be tight as he is pulling it???,Neutral
This is Josh’s redemption arc,Positive
meanwhile there's a pilot in another video during this one,Neutral
Nolan with the rizz is amazing,Positive
Honestly love them both definitely should be brought back for future challenges!,Positive
Bro is a problem,Neutral
He found the perfect ex couple to do this with because they were both WAY too enthusiastic about this bro,Positive
Chandlers Back,Positive
I'm proud that I was able to be one of the creators to help out,Positive
The last one is a very budget date,Neutral
Proud To Be Part Of This,Positive
Not only me seeing this whole video being single,Neutral
You’re actually such a kind person, you’re a hero, you all are,Positive
It wasn't easy for him, he has great strength of spirit.,Positive
The is the purest form of opening a time capsule…. Awesome.,Positive
Next challange underwater,Neutral
Thank you all for helping people in need, I am from Indonesia and I love you all.,Positive
There is a reason why he became a pilot. He is an amazing person. It was such a romantic video.,Positive
You should definitely do more videos with your fiancé!!! It was a nice chill video.,Positive
What a beautiful couple,Positive
"Josh wants sunlight. Suzie ""no but the chain will be only feet!"" Suzie wants a Tesla. Josh ""no worries we can do feet!"",Negative"
Great vidio,Positive
The rock challenge was so exciting 'TEAM WORK IS THE KEY',Positive
Look at Jimmy's Face,Neutral
In honor of coach wall we all should get fit,Positive
days? Try doing days deployed, then involuntarily extended. This is very much doable.,Neutral
Probably the most heart warming video I’ve seen,Positive
That's an Amazing Gift, you've given us. Thank you !,Positive
Is was amazing,Positive
Congratulations on your journey fam,Positive
Amazing! Congrats!!!,Positive
finally happy ending,Positive
We want to challenge a teenager days without technology.,Neutral
bro was rage baiting her,Negative
Your so close to .m subs CONGRATS,Positive
nah bro he’s rapping now I think,Neutral
Congratulations bro, u passed subs.,Positive
Crazy a regular dude with the first world fastest woman without experience,Positive
Inspiring . Congrats on such a amazing journey,Positive
Now this is who i came to see,Positive
say that again…,Neutral
I also want to challenge,Neutral
We gave fame to the right person,Positive
yes im living on hard mode :D !!!!!!!!!!!!!!!!!!!!!,Neutral
Such an Incredible years.Congrats bro!!!! Legend..,Positive
You are amazing, you have come a long way Congratulations,Positive
Nolan genuinely being a heartwarming part of the video was incredible.,Positive
Moral of the video: communication, understanding is important in a relationship.,Positive
The Coach Wall part made me start tearing. and im not even kidding when I say that....,Positive
The military is so kind to support small content creators,Positive
welcome to Riyadh season,Neutral
Happy year anniversary,Positive
"Guys he already won the challenge you can leave the video now."""",Neutral"
The rock challenge was so exciting 'TEAM WORK IS THE KEY',Positive
Naxt challenge days surviving under water,Neutral
So beautiful,Positive
Coach Wall is a legend and legends are eternal.,Positive
this man knows how to deescalate a problem.,Positive
Was great to see Colin in your video, been following him for years!! Awesome creator and builder.,Positive
Congratulations on more than mill,Positive
They look so happy together,Positive
Damn! you got it.,Positive
I'm actually really happy for them. I hope they stay together,Positive
Thank you team water,Positive
mrbeast is the best,Positive
THIS VIDEO REALLY MADE ME CRY . LOVE YOU COACH WALL,Positive
Thank you so much .k,Neutral
This made me cry wot a legend,Positive
Do a challehge where someone has to quit smoking,Neutral
Thank you for including this beautiful project with us, cheers to the mrbeast water team!,Positive
Happy th anniversary! And Success!,Positive
I was not expecting that, Coach Wall was so kind and will be remembered.,Positive
This is so wholesome,Positive
The best project that brings together YouTubers,Positive
This is just.. too wholesome.,Positive
"Imagine booking a trip to disney, only for them to say ""sorry mrbeast has booked the entire park"",Neutral"
Hail mrbeast hail mrbeast,Positive
This the most I've seen me beast smile a lot he truly loves her so much.,Positive
I was laughing in agony watching Nolan on that date,Positive
days for THIS?! WORTH IT. LEGENDARY ending!,Positive
Daym years . That little boy is now biggest youtuber in the world,Positive
Making him more happy,Positive
Congratulations man,Positive
The full circle joke was peak Nolan. Don’t let them bully you. lol,Positive
That's an Amazing Gift, you've given us. Thank you !,Positive
Next video: $ nuclear bomb vs $,,,, nuclear bomb,Neutral
Ian got a life sentence when it comes to getting a friend.,Positive
you see billions,Neutral
This is not a challenge it's a story that brought me to tears. Coach wall was a legend.,Positive
Very interesting to see how this young man who is not an Olympic athlete was just behind a gold medal winner.,Positive
It’s amazing how you unite people from all over the world to help those in need.,Positive
The last one is a very budget date,Neutral
Thank you guys for the compassion you have for others,Positive
Speed and Chandler both had the craziest comeback redemption arcs!,Positive
COACH WALL MAY U BE IN PARADISE,Positive
I need this type of confidence,Positive
The co pilot is the goat he did all this and didn’t even get a plane,Neutral
The date isn't made of money or people around. Is made with the person who you love,Positive
kollab with messi??,Neutral
I love how genuine Nolan is,Positive
we gave fame to the right person, incredible,Positive
you’re doing great,Positive
So far the craziest vid I've seen...lol,Positive
Always getting into exciting adventures,Positive
We need part two of Nolan and Madison in a date,Neutral
imagine he lost balance and then just faceplanted on the floor,Neutral
best moment,Positive
One of the most grateful and kind YouTuber I’ve known,Positive
Guys here who want Space video,Neutral
Coach Wall isn't just a coach he was a legend and inspiration,Positive
Do a challehge where someone has to quit smoking,Neutral
Congratulations!! On hitting the M dude .,Positive
Coach Wall was not a coach he was a legend,Positive
you’re doing great,Positive
It's literally unexpected think that Coach to be gone. It's made me a lot of cry.,Positive
Don’t worry your still alive,Neutral
that British accent is W,Positive
The editing in this video is on top dude,Positive
Congratulations. You got Million and multiplied it by !,Positive
. Support you,Positive
l love that you use your influence to help people.,Positive
is literally the reason why it is important that we read books,Positive
Success On Peak Consistency is the key of Success!!!,Positive
You should do a challenge surviving days with David Goggins,Neutral
What a crazy thing, you're a millionaire, man.,Positive
This is genuinely incredible, and I cannot begin to comprehend the massive amounts of effort required to achieve all of this.,Positive
Also for those of you curious to help offset the carbon emissions from the jet,Neutral
What if you put a student and a teacher together for days,Neutral
I love you from Iraq,Positive
One of the most trippy yet inspirational things I've ever seen,Positive
The passing of Coach Wall motivated me to start taking care of myself again... so in honor for Coach Wall, I, no, we, must all get fit.,Positive
this is one of the Airbnb’s that Ryan Trahan stayed in for the states in days series,Neutral
hours in space next challenge,Neutral
we gave fame to the right person, incredible,Positive
Ts is so crazy i subbed in . Insane growth beast. You’re a beast,Positive
vs ,, dollar girlfriend next,Neutral
Do Men vs Gorilla next,Neutral
I love seeing Nolan happy. They are perfect,Positive
Colin Furze is awesome .And the decommissioned missile silo is really cool,Positive
I think the next challenge should be days in a haunted house for k Dollars,Neutral
Mrbeast is the king of youtubers,Positive
Bro that hug really felt me cry,Positive
Bro is perfect example of hard work,Positive
Nothing beats a Jet Holiday!,Positive
This story really made me cry the coach will always be great,Positive
Congratulations U made it,Positive
Definitely got a million,Positive
Nolan genuinely being a heartwarming part of the video was incredible.,Positive
is crazy,Positive
Be blessed and continue to support humanity hand-pink-wavinghand-pink-waving,Positive
Congrats on mill, man,Positive
I imagine one of the most stressful jobs ever is being an editor for mrbeast,Neutral
nostalgic,Positive
He made me cry too. I’m so sorry for the loss.,Positive
How he stealth, he's really talented lol,Neutral
"He had the chance to say ""This might be the dollar date but with you, its priceless"",Neutral"
it is amazing....,Positive
W Production,Positive
I loved them all,Positive
This is awesome,Positive
Happy ending,Positive
Love you mrbeast,Positive
Nolan is going places,Positive
Jet really said: stress-free travel only! Nothing beats that.,Positive
AIRACK LET ME IN YOUR VIDEO,Neutral
is so cute,Positive
This is unironically the most inspirational video I’ve seen in the past few months.,Positive
Sometimes success isn’t about talent, it’s about endurance. This video shows it perfectly.,Positive
Bro has the courage to ask about UFOs, glad they made it out alive!,Neutral
He is doing what the UN and other countries have failed to do.,Positive
Mind blown!!!,Positive
Sometimes success isn’t about talent, it’s about endurance. This video shows it perfectly.,Positive
days on the Army would be cool,Neutral
I love mrbeast,Positive
The best project that brings together YouTubers,Positive
Legendary . We all need that kind of dedication and obsession to achieve what we are dreaming.,Positive
Don’t worry your still alive,Neutral
This is one of the most heartbreaking and motivational videos,Positive
Glad to be part of this, hope we reach the goal and surpass it!,Positive
this makes me smile,Positive
The put him out put him out part,Neutral
Am I the only one who excited to see the $ always,Positive
i genuinely almost cried to this,Positive
under hour gang!!,Neutral
airack found,Neutral
Love you coach so sorry for the loss,Positive
the aura, holy,Positive
Any fellow doodling fans on this page?,Neutral
It’s honestly calming to see Mrbeast actually happy,Positive
A bunch of space based challenges based on astronaut training and a trip to space as a prize would be awesome,Neutral
Congrats on your success bruvv,Positive
Happy th anniversary!,Positive
its impressive that they were even able to get access to cheyenne,Positive
This is actually so cool to see, safe to say you have more than a million,Positive
I can’t,Neutral
"""This shows that people can do anything for money. It also shows that there’s nothing money can’t do. And it proves that money is above all power."",Negative"
Congratulations U made it,Positive
Nolan pulling Madison beer is actually giving me some hope,Positive
You did it congrats!,Positive
One of the saddest scenes. Coach Wall was definitely an inspiration,Positive
You are the source of success, Beast. Congratulations. I wish you continued success.,Positive
Probably the best, most genuine and inspiring video you've made yet,Positive
bro that’s where ryan trahan stayed,Neutral
One of the hardest things in life is losing someone you love.,Positive
I am proud that there are such people in our world and Orkun is shining :),Positive
I love how the YouTubers got together to help those in need. THERE IS STILL HOPE IN HUMANITY.,Positive
Amazing to see how far you've come, happy year anniversary,Positive
speed was very serious that moment,Neutral
Coach Wall will always be a legend.,Positive
This video definitely boosted door dash orders yesterday,Neutral
great joke nolan,Positive
I love seeing Nolan happy. They are perfect,Positive
Nolan trying to squeeze in on the jumbotron love ya Nolan,Positive
Crazy that an average man with little to no training can almost beat the worlds fastest woman.,Positive
Thanks for helping people,Positive
Feeling proud to be involved. Love from Bangladesh,Positive
ISHOWSPEED COMEBACK ITS INSANE,Positive
Next challenge should be days in haunted house,Neutral
Congratulations on your success bro,Positive
kaboom it is what it is,Neutral
You are truly proof of the power of believing and achieving. This is a manifesto,Positive
money just burning,Neutral
Colin F'ing Furze, what a legend!!!!!,Positive
Already a banger,Positive
I'd love to do one of these type of these challenges!,Neutral
Nolan pulling dates with maddison beer has given me hope,Positive
Living underwater in a submarine for days,Neutral
Thanks for million view,Positive
The Cheyenne one is just absolutely crazy. Stargate vibes but even better !,Positive
I need ur help,Neutral
Ian got a life sentence when it comes to getting a friend.,Positive
Do a challenge where someone has to quit drinking,Neutral
Changing world with team water,Positive
Whyyy this is very cute!,Positive
Nolan is in the mystery box would be so funny.,Neutral
the Hershey company after watching the video,Neutral
the aura, holy,Positive
He is not youtuber he is hero,Positive
This is a video that will make grown men cry,Positive
Your influence changes someone's life,Positive
Did anyone else check to see how much longer the video was after the k offer?,Neutral
is the best,Positive
nice to see you madj,Positive
Coach Wall is probably one of the kindest person I've ever seen.,Positive
Next challenge Underwater With tareeq,Neutral
CAME A LONG WAYYY,Positive
Bros metal strength is on another level...,Positive
Bro is just trying to get a personal pilot for days,Positive
Seeing Nolan happy is making me happy,Positive
Congrats!!!,Positive
"""I look at the door and just wished he walk through "".,Positive"
Chandlers shot was awesome,Positive
Bro went from gaslighting, to getting help, to fixing himself all in days, kudos to them, he won more than just money.,Positive
So happy to have been a part of this,Positive
Look at Jimmy's Face,Neutral
Did he say fortnight,Neutral
Next challenge days,Neutral
Nolan making an amazing debut,Positive
$ wedding vs. $, wedding,Neutral
Nice to see, they bonded, friends for life.,Positive
Such a kind person,Positive
Who wants to be part of Mrbeast video,Neutral
"“Even tho you don't need it but it's come with shampoo"" pure violence,Neutral"
That nodding got me,Neutral
Congrats to the winners,Positive
You are an inspiration to all creators out there !!,Positive
nice video,Positive
Congratulations on your th anniversary! I support you.,Positive
Bro spend a hundred days in that jet and still went to a holiday right after stepping on the ground,Neutral
This is by far the craziest video out your whole life,Positive
Love seeing NOLAN happy here,Positive
Who is watching from Nepal,Neutral
Such an Incredible years.Congrats bro!!!! Legend..,Positive
editors were edging us bruh,Neutral
PHILIDELPHIA,Neutral
bro is clearly roasting Hershy's,Neutral
I didn t expect to love this as much as I do,Positive
She so cute couple,Positive
Full on Ryan Trahan airBnB,Positive
Him bringing out bible versus was amazing,Positive
Lets support these small creators!,Neutral
I love watching young creators. Hope you get million subs,Positive
This shows hard work pays,Positive
I just love chandlers nonchalant attitude,Positive
what's bro just say,Neutral
Hey beast ,new subscriber from,Positive
The editing is very impressive I learned a lot from it.,Positive
The production is top-notch.,Positive
coach wall was the goat,Positive
I loved seeing u both together....it heart warming,Positive
days on the Army would be cool,Neutral
Damn these challenges are crazy,Positive
I will try to donate as much as I can,Positive
bro just casually has a junk jet,Neutral
How many people here want to participate in such challenges?,Neutral
One of the most grateful and kind YouTuber I’ve known,Positive
Thanks for helping people,Positive
This is by far the craziest video out your whole life,Positive
Nolan with the rizz is amazing,Positive
Best couple was nolan and tom the Turkey,Neutral
OH THE FLASHBACKS,Positive
This was the most friendly teamwork I’ve ever seen :D,Positive
days on the Army would be cool,Neutral
the classic meme,Neutral
Congratulations on your journey fam,Positive
Bro is so jacked,Positive
This became Nolan interviewing Madison. Petition for Nolan to be an interviewer,Neutral
Congratulations on your success bro,Positive
This was INSANELY hard,Neutral
Enjoy every moment in life,Positive
What a legend Super inspirational!,Positive
hes lock in,Neutral
or am???,Neutral
Just want see Nolan and medison beer in days underground video challenge,Neutral
I am sure that coach wall and your dad are so proud of who you are today Majd,Positive
Absolute Cinema,Positive
bro said,Neutral
create similar challenges for excavator operators would be more difficult,Neutral
World Biggest YouTubeer Mrbeast,Positive
Congrats man!,Positive
I love supporting small content creators,Neutral
And that's how friends are made hah,Positive
PHILIDELPHIA,Neutral
It was a pleasure!!!Team Water,Positive
I am always wondering, if taking all the money and splitting it after the video is allowed? It would make so much sense so often...,Neutral
Who want participate in such challenge ?,Neutral
Feeling proud to be involved. Love from Bangladesh,Positive
U should do a underwater challenge,Neutral
What a beautiful friendship,Positive
Ian got a life sentence when it comes to getting a friend.,Positive
This shows hard work pays,Positive
This is awesome !!!! What a Beautiful Blessing,Positive
U should do a underwater challenge,Neutral
Awesome as always,Positive
days in a plane is actually insane, honestly how did he do it,Positive
Mind blown!!!,Positive
Happy year anniversary,Positive
Nolan with the rizz is amazing,Positive
Getting ex couple together and locking them up,thats crazy,Positive
Passing of coach made me cry,Positive
I love nolans mom,Neutral
This is Josh’s redemption arc,Positive
Amazing! Congrats!!!,Positive
So awesome to see the success you've accomplished!,Positive
What a legend Super inspirational!,Positive
That’s cool,Positive
Imagine being so close with person for Days and than hearing they r gone,Positive
it's refreshing seeing new creators, hope you get to M bro,Positive
So, How did you do on that history test?,Neutral
So awesome to see the success you've accomplished!,Positive
Nothing beats a Jet holiday — the vibes, the views, the value. Absolute perfection!,Positive
For the first time I am among the first two million people to watch the video,Neutral
I love mrbeast,Positive
the cloak of invisibility,Neutral
How he stealth, he's really talented lol,Neutral
Nolan’s jokes are,Neutral
very strong person! beautiful video! thank you very much for this video!,Positive
Guys here who want Space video,Neutral
So nice,Positive
No matter how big or successful you are as a YouTuber the vine boom is a necessity,Positive
million views in hours is wild,Positive
get nolan here and this will be pure comedy,Positive
Eh proud of Ian for doing the right thing. Now he’s earned a friend for life and that’s priceless.,Positive
I can’t,Neutral
To be with the person you love wherever you are,Positive
dj thats wwild,Neutral
She's so sweet and humble.,Positive
There were many lessons in this video. Patience, caring, unselfishness, etc. Thanks,Positive
. Support you,Positive
The wedding gonna be so fantastic,Positive
Proud to be apart of this video,Positive
I want this Challenge,Neutral
days with old people in a gaming room and young people in a room with rocking chairs,Neutral
The best video ever emotional,physical,inspirational, determination,mindset,goals,consistency,Positive
What did you get on that test?,Neutral
The videos are getting more more insane, but we love it,Positive
Awesome as always,Positive
Great content,Positive
Yeah,Neutral
I was worried about the finale, but I'm so glad that they didn't betray each other,Positive
The risk YouTubers take for content is insane,Neutral
W Production,Positive
As an introvert I swear I would ACE this type of solo challenges,Neutral
One of the satisfactions of having a lot of money is helping others in need.,Positive
The crazy part isn’t just the money, it’s how much creativity and effort goes into these challenges. Absolute legend,Positive
Congrats on the million, maybe you will get mil in the future,Positive
coach wall isn't just a coach! he's a story!,Positive
Nolan trying to rizz was crazy,Positive
LMAO This is actually crazy to watch!,Positive
Very sorry for the loss of your coach,Positive
Bro is insanely successful,Positive
All the stunts here were super easy,Negative
They get a ton of money and a relationship, life couldn’t get any better,Positive
At is that a Fortnite animation,Neutral
Truly shows how these things happens so unexpectedly take care of ur people guys,Positive
what stops them from stealing all the prize money ending the challenge then sharing the half afterwards?,Neutral
Coach WALL is the legend of all time.,Positive
Under hours,Neutral
This man is saving the world as a youtuber, Such a kind and wholesome man,Positive
And Mrbeast is back,Positive
Coach was the best. He was a great person,Positive
He could use the PJ to take people places for money,Neutral
its not about how expensive it is but about how u love each other,Positive
Coach wall was genuinely one of the most kind ang supportive person I've ever known,Positive
the women’s react about not showering,Neutral
Bro summoned the power of all the famous basketball players.,Positive
man if i was locked in there being able to play only tetris and minesweeper, i would prepare to become tetris champion lol,Neutral
Seeing your old goals completely obliterated is super inspiring. Thanks for sharing this with us.,Positive
million people now have what so many of us take for granted. This is humanity at its best. The joy on the faces of the villagers is the most beautiful thing I’ve seen all year.,Positive
Speed can tolerate any thing but ronaldo,Neutral
I loved them all,Positive
Once again, we have shown that friendship is the best,Positive
The way Nolan asked Maddison and her saying yes almost made me cry becasue i think its so sweet,Positive
We made the right person a celebrity with this man,Positive
"""I love this video"" ,Neutral"
Lowkey nolan and Madison actually getting together would be absolute cinema,Positive
speed revenge,Positive
King of all Social sides,Positive
There is a reason why he became a pilot. He is an amazing person. It was such a romantic video.,Positive
I love you guys,Positive
Jimmy's new videos have been awesome,Positive
From $ straight to $k date? Skipped all of us bro lol,Neutral
The Cheyenne two is just absolutely crazy. Stargate vibes but even better!,Positive
it's refreshing seeing new creators, hope you get to M bro,Positive
tb when Mac lost,Neutral
Survive challenge pls,Neutral
Nolan actually being treated nice for once is amazing to see,Positive
Thanks for allowing us to be a part of this collaboration,Positive
come on Arriack too obvious,Neutral
The production is top-notch.,Positive
Thanks for making me cry,Positive
Nolan’s laugh with Madison got me on the floor dying,Positive
Sometimes success isn’t about talent, it’s about endurance. This video shows it perfectly.,Positive
Happy years!Congratulations,Positive
Jimmy's new videos have been awesome,Positive
He's actually goated!,Positive
HE’S READING FOURTH WING OMG,Neutral
Disneyland scene was insane,Positive
I was NOT ready for that,Positive
You guys are the reason why I still hope for humanity!!,Positive
Proof that money can bring happiness,Positive
Best,Positive
Genius way to promote doordash. I needed a few seconds to realize that it is actually the sponsor,Positive
Congratulations.This is really inspirational!,Positive
These vids getting crazier and crazier each time,Positive
Deepest condolences and congrats dude.,Positive
I don't care if Chandler was back long time before I wrote this, I'm just happy he's finally here in videos!,Positive
Tareq's face,Neutral
This is not just a video, it’s a testament to the power of kindness and unity. Fully supporting the $ million mission! huge thanks to Team Water and all the amazing creators involved!,Positive
Nolan is just me,Neutral
million views in hours is wild,Positive
Coach wall was THE best coach u can ask for.,Positive
the motorcycle part sent me,Positive
Congrats!,Positive
He was not only a coach but also an inspiration to Majed. A very touching video.,Positive
Be there or be square...,Neutral
I work in the Cheyenne Mountain complex. This video was a great example of how much more money the government has. The Complex is actually a lot bigger than what it shows in the video.,Neutral
Under hour,Neutral
This is not a challenge, this is a story that made me cry a lot.,Positive
Next challenge - tree planting,Neutral
it's refreshing seeing new creators, hope you get to M bro,Positive
it was magical,Positive
Ian was so smart with reading the book about rocks, definitely helped A LOT. Lenny put in the hard work too. They both were so smart, I underestimated Ian. He's great at drawing and he's an empath,Positive
The coach was so nice it sad to hear that he sadly passed,Positive
This is legendary. You've made history!,Positive
He is doing what the UN and other countries have failed to do.,Positive
Such a kind person,Positive
Would you do it for Nolan’s mom?,Neutral
Here are those of us who cry for coach,Positive
I am your fan,Positive
Who want participate in such challenge ?,Neutral
He is amazing he deserved that money,Positive
"""Money can't buy love."" Mrbeast:,Neutral"
was crazy,Positive
So far the craziest vid I've seen...lol,Positive
He is doing what the UN and other countries have failed to do.,Positive
Bro, the fishes are happy to have so much money,Neutral
Hopefully people will see this as a sign to start their own path to greatness,Positive
It really hurts when the closest person leaves without saying anything... What a traged ...,Positive
Seeing your old goals completely obliterated is super inspiring. Thanks for sharing this with us.,Positive
He helps more than the government. What a hero!,Positive
years is crazy, congrats!,Positive
“We did it”who is we,Neutral
Powerful message, beautiful execution. Glad to play a role,Positive
Proud To be involved,Positive
Caught your lonely ahh smiling,Neutral
COACH WALL MAY U BE IN PARADISE,Positive
COLIN FURZE NO WAY,Positive
How did maddison beer pull Nolan,Neutral
Any fellow doodling fans on this page?,Neutral
Money talks walks flys rides swims races,Neutral
This is insane days is a lot in such a confined space,Positive
In the future you can do stay in a yacht for days And also Stay in a Submarine for days,Neutral
This one kept giving me chills!,Positive
Your are great person beast big big thankyou from Nepal,Positive
is that airack,Neutral
What a beautiful couple, they are very cute together,Positive
congratulations speed,Positive
Yeah we made the right person famous.,Positive
It's been hours and I'm still stuck on,Neutral
Bro is really very big and kind hearted,Positive
at this moment he realised,Neutral
bro just casually has a junk jet,Neutral
Nolan having awkwardness rizz is crazy to see!!,Positive
crazy how a regular dude almost beat the worlds fastest woman with no experience.,Positive
Bro honestly the coach thing made me cry,Positive
You’re actually such a kind person, you’re a hero, you all are,Positive
It’s just so amazing to see people coming together as a humanity to do what the people in charge have failed to. We made the right people famous,Positive
Favorite video lately. So cute!,Positive
Nolan’s laugh with Madison got me on the floor dying,Positive
That was the sweetest ending, the whole video was a roller coaster of emotions, sadness, happiness, comedy. Absolute Cinema.,Positive
yea,Neutral
The way he refuses to get another trainer, is just so kind,Positive
I've subscribed for over years,Positive
how much people does mrbeast have trapped just constantly,Neutral
“We’re aura” is hilarious.,Positive
This is a story,Neutral
Love u BEAST..,Positive
It would be really cool if you made a video about the best water parks in the world. I recommend Siam Park, it's the best.,Neutral
This made me cry.,Positive
Your videos are really amazing. And I am a big fan of yours.,Positive
imagine he lost balance and then just faceplanted on the floor,Neutral
WOW! THAT SHOT BY CHANDLER WAS THE MOST EPIC SHOT I'VE EVER SEEN BECAUSE EVEN CURVA KICKED THE BALL IN THE AIR,Positive
Make one video on helping of Gaza people,Neutral
So I would revive days buried alive or if it's better underwater in a submarine,Neutral
Do challenge Messi and Cristiano Ronaldo in one room days.,Neutral
That was the sweetest ending, the whole video was a roller coaster of emotions, sadness, happiness, comedy. Absolute Cinema.,Positive
Great. I imagine one of the most stressful jobs ever is being an editor for mrbeast.,Neutral
Nolan and Madison Beer wedding when?,Neutral
